Sample,Treatment
NP-126-510-728_F_filt.fastq.gz,Zooplankton/Week 4
NP-127-511-728_F_filt.fastq.gz,Zooplankton/Week 4
NP-128-513-728_F_filt.fastq.gz,Zooplankton/Week 4
NP-129-515-728_F_filt.fastq.gz,Zooplankton/Week 4
NP-133-520-723_F_filt.fastq.gz,Zooplankton/Week 4
NP-134-521-723_F_filt.fastq.gz,Zooplankton/Week 4
NP-135-522-729_F_filt.fastq.gz,Zooplankton/Week 4
NP-139-506-729_F_filt.fastq.gz,Artemia/Week 4
NP-140-507-729_F_filt.fastq.gz,Artemia/Week 4
NP-141-508-729_F_filt.fastq.gz,Artemia/Week 4
ZOOP-159-510-702_F_filt.fastq.gz,Zooplankton Water Control Week 1+2
ZOOP-160-511-702_F_filt.fastq.gz,Zooplankton
ZOOP-163-516-702_F_filt.fastq.gz,Zooplankton Water Control Week 1+2
ZOOP-167-521-702_F_filt.fastq.gz,Zooplankton Water Control Week 3+4
ZOOP-168-522-703_F_filt.fastq.gz,Zooplankton Water Control Week 3+4
ZOOP-169-502-703_F_filt.fastq.gz,Zooplankton Water Control Week 3+4
