"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV578","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chitinibacteraceae","Iodobacter",NA
"ASV589","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_13","subterminale"
"ASV592","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Chroococcidiopsaceae","Chroococcidiopsis_SAG_2023",NA
"ASV594","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"ASV595","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"ASV596","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","pigrum"
"ASV600","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"ASV604","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira",NA
"ASV606","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA
"ASV609","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexus",NA
"ASV613","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium",NA
"ASV618","Bacteria","Omnitrophicaeota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus",NA
"ASV619","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Tepidibacter",NA
"ASV626","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Solitalea",NA
"ASV630","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga",NA
"ASV633","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Borreliella",NA
"ASV654","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA
"ASV656","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pseudoduganella",NA
"ASV657","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","brunescens"
"ASV666","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum",NA
"ASV669","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"ASV671","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Aquibacillus",NA
"ASV673","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Haliscomenobacter",NA
"ASV675","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA
"ASV679","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","cecorum"
"ASV680","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Flexibacter",NA
"ASV685","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azomonas",NA
"ASV694","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter",NA
"ASV696","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter",NA
"ASV698","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus",NA
"ASV708","Bacteria","Rokubacteria","NC10","Methylomirabilales","Methylomirabilaceae","MIZ17",NA
"ASV723","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade",NA
"ASV726","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Idiomarinaceae","Idiomarina","loihiensis"
"ASV729","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buttiauxella",NA
"ASV736","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Cephaloticoccus",NA
"ASV738","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","caseolyticus"
"ASV742","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",NA
"ASV746","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus",NA
"ASV769","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Gallionellaceae","Gallionella",NA
"ASV772","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Aphanizomenon_NIES81",NA
"ASV774","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"ASV776","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","cerevisiae"
"ASV785","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ciceribacter",NA
"ASV790","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter",NA
"ASV793","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",NA
"ASV799","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis",NA
"ASV812","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA
"ASV813","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca",NA
"ASV814","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","gandavensis"
"ASV815","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Defluviimonas",NA
"ASV826","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter","chironomi"
"ASV828","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia",NA
"ASV832","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA
"ASV835","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera",NA
"ASV843","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",NA
"ASV844","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Candidatus_Planktophila",NA
"ASV848","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Caenimonas",NA
"ASV859","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium",NA
"ASV861","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA
"ASV869","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32",NA
"ASV874","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix",NA
"ASV884","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter",NA
"ASV886","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA
"ASV895","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus",NA
"ASV900","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus",NA
"ASV902","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_7",NA
"ASV905","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Inhella",NA
"ASV908","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Homoserinimonas",NA
"ASV916","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","GKS98_freshwater_group",NA
"ASV921","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV922","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Kosakonia","cowanii"
"ASV935","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA
"ASV945","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Tepidiphilus",NA
"ASV949","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","MND1",NA
"ASV950","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas",NA
"ASV951","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Rhodonellum",NA
"ASV961","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Sporanaerobacter",NA
"ASV965","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",NA
"ASV978","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium","galegae"
"ASV994","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",NA
"ASV998","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudoruegeria",NA
"ASV1001","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","disiens"
"ASV1015","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",NA
"ASV1019","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","anaerobius"
"ASV1021","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Finniella",NA
"ASV1023","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Empedobacter",NA
"ASV1024","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas",NA
"ASV1026","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","propionicifaciens"
"ASV1032","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Fluviicoccus",NA
"ASV1034","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Paracaedibacter",NA
