ASV,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz
ASV1,0,0,0,3,0,2,1,0,0,0,2,0,6
ASV2,10,0,7,0,4,51,13,3,2,9,2,12,37
ASV3,10151,3521,833,6713,1519,17020,13845,8989,12530,3195,10742,13908,9056
ASV5,7739,938,4971,9874,7557,2608,2058,6214,6262,903,1943,1852,718
ASV8,472,1227,2401,5233,4150,2696,2505,2718,3360,8331,2524,620,3399
ASV11,33,0,0,0,4,0,0,0,0,149,167,25,45
ASV15,0,0,0,0,0,0,0,0,6,0,0,0,0
ASV16,338,359,282,11,228,49,283,20,179,660,126,224,80
ASV20,9,8,319,0,50,28,9,0,0,70,8,26,38
ASV21,50,170,7,230,193,553,544,235,352,87,32,163,516
ASV22,18,0,0,0,0,0,0,0,0,9,0,14,0
ASV24,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,890,1562,2838,432,4567,1512,251,156,1091,2717,1111,1354,1589
ASV27,0,22,0,0,0,0,0,0,0,0,0,0,0
ASV31,0,57,25,0,36,0,3,0,0,4,44,0,8
ASV32,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV35,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV38,397,2923,1772,421,2737,430,67,84,533,1949,796,767,663
ASV43,7,0,0,0,0,0,0,0,1,5,20,0,0
ASV44,415,946,1104,198,1616,407,120,49,302,951,277,276,234
ASV46,0,0,0,0,7,0,0,0,0,0,0,0,0
ASV49,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV50,18,0,6,0,0,0,0,0,0,0,0,25,66
ASV51,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV53,220,524,471,100,458,91,13,7,44,129,65,87,123
ASV54,51,85,12,75,22,15,12,22,77,76,170,63,3
ASV57,12,14,8,59,39,171,204,89,144,26,20,54,170
ASV58,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV59,0,0,0,0,0,0,1,0,4,0,0,0,0
ASV63,0,80,34,0,64,0,0,0,0,8,0,0,44
ASV83,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV95,13,7,8,8,13,0,0,0,0,7,3,0,1
ASV96,7,0,0,0,0,0,0,0,0,0,0,0,0
ASV98,0,0,0,0,0,0,0,0,0,0,0,0,0
