D_1,FEED,GROWTH
1W-2W,ARTEMIA,0.006021978
2W-3W,ARTEMIA,0.019053571
3W-4W,ARTEMIA,0.031647727
1W-2W,ZOOPLANKTON,0.001772894
2W-3W,ZOOPLANKTON,0.011598997
3W-4W,ZOOPLANKTON,0.015379357
