Genus,Treatment,Average,Log2
Lelliottia,Artemia/Week 3,80.97589286,1.232465571
Aeromonas,Artemia/Week 3,12.63035714,0
Lelliottia,Artemia/Week 4,99.8,
Aeromonas,Artemia/Week 4,0,
