Genus,Treatment,Average,Log2
Aeromonas,Zooplankton/Week 1,68.03626374,0.329460157
Deefgea,Zooplankton/Week 1,8.005494505,0.84941661
Clostridium_sensu_stricto_1,Zooplankton/Week 1,2.106593407,4.07066597
Shewanella,Zooplankton/Week 1,8.98021978,6.610719531
Aeromonas,Zooplankton/Week 2,22.4152381,
Deefgea,Zooplankton/Week 2,6.8,
Clostridium_sensu_stricto_1,Zooplankton/Week 2,8.575238095,
Shewanella,Zooplankton/Week 2,59.36571429,
