ASV,NP-001-502-714_F_filt.fastq.gz,NP-002-503-714_F_filt.fastq.gz,NP-005-507-714_F_filt.fastq.gz,NP-006-508-714_F_filt.fastq.gz,NP-007-510-714_F_filt.fastq.gz,NP-008-511-714_F_filt.fastq.gz,NP-009-513-714_F_filt.fastq.gz,NP-010-515-714_F_filt.fastq.gz,NP-011-516-714_F_filt.fastq.gz,NP-013-518-715_F_filt.fastq.gz,NP-014-520-715_F_filt.fastq.gz,NP-015-521-715_F_filt.fastq.gz,NP-016-522-715_F_filt.fastq.gz,NP-017-502-715_F_filt.fastq.gz,NP-018-503-715_F_filt.fastq.gz,NP-019-505-715_F_filt.fastq.gz,NP-021-511-716_F_filt.fastq.gz,NP-022-507-715_F_filt.fastq.gz,NP-023-508-715_F_filt.fastq.gz,NP-024-510-716_F_filt.fastq.gz,NP-025-513-716_F_filt.fastq.gz,NP-026-515-716_F_filt.fastq.gz,NP-027-516-716_F_filt.fastq.gz,NP-028-517-716_F_filt.fastq.gz,NP-029-518-716_F_filt.fastq.gz,NP-030-520-716_F_filt.fastq.gz,NP-031-521-716_F_filt.fastq.gz,NP-032-522-716_F_filt.fastq.gz,NP-034-502-716_F_filt.fastq.gz,NP-041-513-718_F_filt.fastq.gz,NP-042-515-718_F_filt.fastq.gz,NP-043-516-718_F_filt.fastq.gz,NP-044-517-718_F_filt.fastq.gz,NP-045-518-719_F_filt.fastq.gz,NP-046-520-719_F_filt.fastq.gz,NP-047-521-719_F_filt.fastq.gz,NP-048-522-719_F_filt.fastq.gz,NP-049-502-719_F_filt.fastq.gz,NP-050-503-719_F_filt.fastq.gz,NP-051-505-719_F_filt.fastq.gz,NP-052-506-719_F_filt.fastq.gz,NP-053-507-719_F_filt.fastq.gz,NP-054-508-719_F_filt.fastq.gz,NP-055-510-719_F_filt.fastq.gz,NP-056-511-720_F_filt.fastq.gz,NP-057-513-720_F_filt.fastq.gz,NP-058-515-720_F_filt.fastq.gz,NP-059-516-720_F_filt.fastq.gz,NP-060-517-720_F_filt.fastq.gz,NP-061-518-720_F_filt.fastq.gz,NP-062-520-721_F_filt.fastq.gz,NP-063-521-720_F_filt.fastq.gz,NP-064-522-720_F_filt.fastq.gz,NP-065-502-720_F_filt.fastq.gz,NP-066-503-704_F_filt.fastq.gz,NP-067-505-721_F_filt.fastq.gz,NP-068-506-721_F_filt.fastq.gz,NP-069-507-721_F_filt.fastq.gz,NP-070-508-721_F_filt.fastq.gz,NP-071-510-721_F_filt.fastq.gz,NP-072-511-721_F_filt.fastq.gz,NP-073-513-721_F_filt.fastq.gz,NP-074-515-704_F_filt.fastq.gz,NP-075-516-721_F_filt.fastq.gz,NP-076-517-721_F_filt.fastq.gz,NP-077-518-721_F_filt.fastq.gz,NP-078-522-722_F_filt.fastq.gz,NP-080-520-722_F_filt.fastq.gz,NP-081-502-722_F_filt.fastq.gz,NP-083-505-722_F_filt.fastq.gz,NP-084-506-722_F_filt.fastq.gz,NP-085-507-722_F_filt.fastq.gz,NP-086-508-722_F_filt.fastq.gz,NP-087-510-722_F_filt.fastq.gz,NP-088-511-722_F_filt.fastq.gz,NP-090-515-723_F_filt.fastq.gz,NP-091-516-723_F_filt.fastq.gz,NP-093-518-728_F_filt.fastq.gz,NP-094-520-728_F_filt.fastq.gz,NP-095-521-728_F_filt.fastq.gz,NP-096-522-728_F_filt.fastq.gz,NP-097-502-723_F_filt.fastq.gz,NP-098-503-723_F_filt.fastq.gz,NP-099-505-723_F_filt.fastq.gz,NP-102-508-724_F_filt.fastq.gz,NP-103-510-724_F_filt.fastq.gz,NP-104-511-724_F_filt.fastq.gz,NP-105-513-724_F_filt.fastq.gz,NP-106-515-724_F_filt.fastq.gz,NP-120-502-727_F_filt.fastq.gz,NP-121-503-727_F_filt.fastq.gz,NP-122-505-727_F_filt.fastq.gz,NP-123-506-727_F_filt.fastq.gz,NP-126-510-728_F_filt.fastq.gz,NP-127-511-728_F_filt.fastq.gz,NP-128-513-728_F_filt.fastq.gz,NP-129-515-728_F_filt.fastq.gz,NP-133-520-723_F_filt.fastq.gz,NP-134-521-723_F_filt.fastq.gz,NP-135-522-729_F_filt.fastq.gz,NP-139-506-729_F_filt.fastq.gz,NP-140-507-729_F_filt.fastq.gz,NP-141-508-729_F_filt.fastq.gz
ASV1,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0,5,0,30,0,0,0,31,3,0,0,1,11,1,1,0,0,0,0,0,0,0,0,0,2,65,56,133,165,87,21,59,94,57,27,0,12,33,3,15,7000,7000,6995,6991,6995,6995,6997,6987,6988,7000,6997,5722,6996,6998,6992,6982,6999,6989,6987,1,1,3,0,1,0,4,0,0,5,3,0,5,0,0,2,7000,6997,6994,6998,6975,6997,6978,6995,6944,7000,6999,1,3,0
ASV2,0,0,0,2,0,3,0,0,12,4,0,0,3,1,5,18,0,0,0,179,2,0,0,0,0,1,0,0,7,391,1159,356,855,1389,306,192,646,198,226,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6998,4697,6737,6985,5078,6619,6499,6039,5574,4334,6871,6916,3258,6957,6977,154,0,0,0,0,0,0,0,0,1,0,0,6999,6997,6962
ASV3,2,2,0,3357,1892,378,2036,450,4642,4853,3351,3484,1119,4150,4975,3743,6102,6246,2098,4127,6190,3758,3973,5093,4865,4446,5643,5678,3694,5622,4661,6001,4445,2870,3365,4172,4138,4466,4009,2048,1268,952,1259,786,107,162,184,2628,2030,2573,5176,837,3010,516,0,0,2,0,0,0,0,0,4,0,0,1277,0,0,2,0,0,2,0,1,23,177,2,3,362,136,877,1400,1067,112,63,3100,2,8,6813,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ASV5,0,0,0,2548,516,2239,2871,2181,708,698,2329,1751,334,771,671,296,20,57,12,29,59,1643,2421,1642,1415,519,31,263,61,43,15,96,20,26,23,41,30,34,54,4510,4312,4690,5433,5381,3008,5448,5498,3552,4618,3683,715,4222,3240,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,19,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV8,0,0,0,150,665,1105,1606,1260,734,904,1038,945,2971,939,223,1363,0,0,0,570,0,0,0,0,0,0,0,0,0,520,457,188,517,1892,314,100,390,206,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV11,1,0,0,14,0,0,0,1,0,0,0,0,51,66,8,14,702,428,52,434,463,713,473,196,282,1453,473,90,1526,5,3,0,0,0,1275,1081,1172,1699,1509,346,1253,1032,0,145,8,373,388,462,184,464,224,77,144,2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV16,885,3831,2188,119,215,124,6,64,14,93,10,49,260,56,82,33,2,6,60,67,60,35,8,10,48,31,53,28,9,72,103,27,43,31,26,21,9,41,25,0,3,1,0,0,6,0,2,0,2,57,5,28,56,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1323,0,0,34,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ASV20,0,0,0,1,4,140,0,17,11,6,0,0,26,3,14,19,0,0,76,120,4,3,0,0,0,1,0,25,85,50,33,114,186,121,67,144,18,22,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,1,2,2,0,1,2,0,1,4,3,7,3,13,0,6,0,0,6,36,0,3,1,0,0,2,0,2,0,1,0,0,0,0,0,0,17
ASV21,0,0,0,20,83,5,74,60,142,191,88,104,32,16,54,228,0,0,0,172,0,0,0,0,0,0,0,0,0,107,236,72,478,327,1191,390,421,131,652,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,33,12,0,66,0,7,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV22,44,70,445,4,0,0,0,0,0,0,0,0,4,0,5,0,17,7,1608,26,2,334,9,1,141,8,173,284,166,0,0,3,5,0,0,2,0,2,0,0,2,0,0,0,1,16,16,0,0,13,1,6,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ASV24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,163,75,388,20,208,62,41,74,17,139,76,616,0,0,0,0,0,0,0,0,0,0,11,15,144,95,584,3839,572,733,130,105,71,730,1749,211,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV25,0,0,0,306,855,1276,124,1369,375,85,61,304,908,400,507,679,0,0,24,15,22,14,0,0,3,0,0,5,2,2,0,3,5,0,2,7,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV27,3942,852,876,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,4,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV31,0,0,20,0,30,9,0,10,0,0,0,0,3,17,0,3,0,0,115,271,7,10,6,0,1,431,104,49,7,79,2,29,18,0,3,21,1,88,13,0,5,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,50,13,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,2,0,13,8,0,3,0,1,1,1,15,1,7,5,0,891,63,2,1,1,124,2,4,6,0,9,341,2,5,0,0,3,0,0,17,0,13,0,34,0,0,0,0,9
ASV35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV38,0,0,0,126,1594,814,139,804,130,33,33,154,676,318,259,272,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV43,0,0,0,5,0,0,0,0,0,0,0,0,4,6,0,0,2,0,198,3,0,1,0,0,0,0,5,44,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV44,0,0,0,152,527,507,51,501,113,35,16,87,362,107,85,88,0,0,0,5,0,0,0,0,0,0,0,0,0,17,8,14,1,13,11,16,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
