Genus,Treatment,Average,Log2
Lelliottia,Artemia/Week 3,80.97589286,0.08235576
Aeromonas,Artemia/Week 3,12.63035714,3.617238411
Plesiomonas,Artemia/Week 3,0.022321429,2128.349091
Lelliottia,Artemia/Week 4,6.668831169,
Aeromonas,Artemia/Week 4,45.68701299,
Plesiomonas,Artemia/Week 4,47.50779221,
