Genus,Treatment,AVG,SE
Lelliottia,Artemia/Week 2,8.168571429,1.935342376
Aeromonas,Artemia/Week 2,62.49857143,4.208381902
Escherichia/Shigella,Artemia/Week 2,6.815714286,2.344193821
Deefgea,Artemia/Week 2,9.634285714,3.293411412
Enterobacter,Artemia/Week 2,5.721428571,1.501191137
Cedecea,Artemia/Week 2,1.882857143,0.451361257
