Genus,Treatment,Average,Log2
Aeromonas,Zooplankton/Week 2,22.4152381,0.043170149
Shewanella,Zooplankton/Week 2,59.36571429,0
Deefgea,Zooplankton/Week 2,6.8,0
Clostridium_sensu_stricto_1,Zooplankton/Week 2,8.575238095,0
Plesiomonas,Zooplankton/Week 2,0.787619048,125.6380067
Aeromonas,Zooplankton/Week 3,0.967669173,
Shewanella,Zooplankton/Week 3,0,
Deefgea,Zooplankton/Week 3,0,
Clostridium_sensu_stricto_1,Zooplankton/Week 3,0,
Plesiomonas,Zooplankton/Week 3,98.95488722,
